panel,method,mae,mse
beijing/legacy_native_h96,target_knn_multivariate,0.8765992891431923,1.7354685315119067
beijing/legacy_native_h96,target_linear_interp,0.88555185279474236,1.7635676161541862
beijing/legacy_native_h96,target_locf,0.88439581196140216,1.7591579546857545
beijing/legacy_native_h96,target_matched_source_fixed_joint,0.87526706308430002,1.7174657990822551
beijing/legacy_native_h96,target_matched_source_fixed_mae,0.87517954621966298,1.7145009560225357
beijing/legacy_native_h96,target_matched_source_single_mae,0.88376365748059316,1.7504976674573924
beijing/legacy_native_h96,target_mean8,0.87864143106918025,1.7308828650814718
beijing/legacy_native_h96,target_median8,0.87989771942636164,1.7456729077764004
beijing/legacy_native_h96,target_motm_reference,0.8871926934925648,1.7604470720724599
beijing/legacy_native_h96,target_saits,0.88064578788288417,1.7554722408634504
beijing/legacy_native_h96,target_sample_point_mean16,0.88113086771175508,1.7548475371808834
beijing/legacy_native_h96,target_sample_point_median16,0.88070755675083667,1.7531113423619511
beijing/legacy_native_h96,target_seasonal_lag,0.88376365748059316,1.7504976674573924
beijing/legacy_native_h96,target_smoothed_cdf_median,0.88056947028869148,1.7507174693405843
beijing/legacy_native_h96,target_smoothed_point,0.88056947271499419,1.750717469443634
beijing/legacy_native_h96,target_source_fixed_joint,0.87536903678180333,1.7173926022190455
beijing/legacy_native_h96,target_source_fixed_mae,0.87507771088251662,1.7129827956924879
beijing/legacy_native_h96,target_source_single_mae,0.88376365748059316,1.7504976674573924
beijing/legacy_native_h96,target_static_point,0.87381543657875371,1.722030296696871
beijing/legacy_native_h96,target_timemixerpp,0.88899595965617062,1.7695881190630722
beijing/legacy_native_h96,transport_diagonal,0.82892585985880041,1.4253035307106441
beijing/legacy_native_h96,transport_independent_f,0.86744920364138711,1.7316949427097226
beijing/legacy_native_h96,transport_mean_center,0.82672857769076147,1.4479638124294241
beijing/legacy_native_h96,transport_no_initial,0.83602285209533866,1.5197572006444882
beijing/legacy_native_h96,transport_unscaled,0.82840052436765899,1.5214462593962217
beijing/legacy_native_h96,unconditional_moment_component,0.87406885905488918,1.7503746853565243
beijing/natural_outage_h24,correlation_transport,0.40313240917368859,0.27281577765448534
beijing/natural_outage_h24,corruption_lora,0.50670777883994966,0.41986313296858313
beijing/natural_outage_h24,covariance_portfolio_global,0.44199705198041839,0.30262647673556226
beijing/natural_outage_h24,covariance_portfolio_station,0.43165351972295457,0.31552977940905358
beijing/natural_outage_h24,forecast_covariance,0.42711904878355078,0.30260660443041826
beijing/natural_outage_h24,full_dynamic_mixture_mean16,0.47480885715494575,0.34587385128956322
beijing/natural_outage_h24,full_dynamic_mixture_median16,0.46910478768200176,0.34506038429983832
beijing/natural_outage_h24,full_filtered_point,0.45522236944784145,0.33112540008822133
beijing/natural_outage_h24,full_sample_point_mean16,0.46554220781987349,0.34019427002739427
beijing/natural_outage_h24,full_sample_point_median16,0.46568570195243558,0.34214294120591987
beijing/natural_outage_h24,full_smoothed_cdf_median,0.45810466578568315,0.33523237018375335
beijing/natural_outage_h24,full_smoothed_point,0.45810416684873517,0.33523257228410014
beijing/natural_outage_h24,full_static_point,0.42343555241669134,0.30711354627796944
beijing/natural_outage_h24,gaussian_conditional_attention,0.42146747453522532,0.3051525147977418
beijing/natural_outage_h24,gaussian_group_attention,0.42398072821142319,0.30734256588378478
beijing/natural_outage_h24,gaussian_observation_attention,0.4382673273977637,0.32375399619198686
beijing/natural_outage_h24,gaussian_provenance,0.53718041930031435,0.4872707264523502
beijing/natural_outage_h24,gaussian_provenance_attention,0.53579176684335084,0.47945952146847598
beijing/natural_outage_h24,gaussian_shifted_attention,0.42360319222724208,0.30695227206735737
beijing/natural_outage_h24,gaussian_time_attention,0.42249793937542846,0.30563654429147652
beijing/natural_outage_h24,half_input_mix,0.45141237192276851,0.32105426232266587
beijing/natural_outage_h24,half_output_mix,0.45335416313719162,0.32614035448619583
beijing/natural_outage_h24,half_static_var,0.400215450778662,0.27060134469932734
beijing/natural_outage_h24,half_var_corruption_lora,0.42222818487097546,0.28280549579560005
beijing/natural_outage_h24,half_var_forecast_covariance,0.40400745780107877,0.27207784198414636
beijing/natural_outage_h24,half_var_gaussian_conditional_attention,0.3978038123754109,0.26781307411506999
beijing/natural_outage_h24,half_var_gaussian_group_attention,0.40066285721891909,0.27081772633414836
beijing/natural_outage_h24,half_var_gaussian_observation_attention,0.4036276212849268,0.27368959588010405
beijing/natural_outage_h24,half_var_gaussian_provenance,0.43269130876487111,0.31548981030089757
beijing/natural_outage_h24,half_var_gaussian_provenance_attention,0.43061165835467724,0.31179452428672644
beijing/natural_outage_h24,half_var_gaussian_shifted_attention,0.4002341354136561,0.27057725828683216
beijing/natural_outage_h24,half_var_gaussian_time_attention,0.3979221928055437,0.26786559307331043
beijing/natural_outage_h24,half_var_imputation_covariance_all,0.40008820120647698,0.2697498576290534
beijing/natural_outage_h24,half_var_imputation_covariance_targets,0.39982118368042613,0.26952326056096704
beijing/natural_outage_h24,half_var_independent_plus_native_mean,0.44257684969287392,0.31406077679103644
beijing/natural_outage_h24,half_var_independent_plus_native_median,0.43137035676223773,0.30592418103904184
beijing/natural_outage_h24,half_var_independent_proxy_mean,0.44149583585586472,0.31260368769640945
beijing/natural_outage_h24,half_var_independent_proxy_median,0.43092647081900631,0.30640714689288723
beijing/natural_outage_h24,half_var_isolated_gaussian,0.43623403769859936,0.31818715183651974
beijing/natural_outage_h24,half_var_isolated_knn_multivariate,0.42420829985820468,0.31565195131758012
beijing/natural_outage_h24,half_var_isolated_linear_interp,0.49440961925106069,0.39250844373655086
beijing/natural_outage_h24,half_var_isolated_local_ridge,0.47366060213111455,0.35371524785382275
beijing/natural_outage_h24,half_var_isolated_locf,0.49632060770796488,0.3955641361854671
beijing/natural_outage_h24,half_var_isolated_motm_reference,0.51390315206762127,0.40203741529569936
beijing/natural_outage_h24,half_var_isolated_peer_ar_bridge,0.42713672863025015,0.30482666220712612
beijing/natural_outage_h24,half_var_isolated_peer_residual_linear,0.43473408780426004,0.316345197219629
beijing/natural_outage_h24,half_var_isolated_peer_ridge,0.4367885305577463,0.31739869253604835
beijing/natural_outage_h24,half_var_isolated_saits,0.43405772713083524,0.31214831878548932
beijing/natural_outage_h24,half_var_isolated_seasonal_lag,0.46787884429140209,0.34171031827524767
beijing/natural_outage_h24,half_var_isolated_timemixerpp,0.47131041861596357,0.3612981204536187
beijing/natural_outage_h24,half_var_joint_reference_mean,0.44081588565084151,0.31093826541702502
beijing/natural_outage_h24,half_var_joint_reference_median,0.42979574212828919,0.30508669130348171
beijing/natural_outage_h24,half_var_local_ridge,0.43507245775678066,0.30183272671295286
beijing/natural_outage_h24,half_var_long_repair_gaussian_peer,0.38816838603097592,0.24514281459382001
beijing/natural_outage_h24,half_var_long_repair_gaussian_targets,0.3995364566048874,0.26104595809408587
beijing/natural_outage_h24,half_var_long_repair_knn_multivariate_peer,0.3886764368700934,0.24407054526593919
beijing/natural_outage_h24,half_var_long_repair_knn_multivariate_targets,0.39677365013600924,0.25864772732674407
beijing/natural_outage_h24,half_var_long_repair_local_ridge_peer,0.42242727125485974,0.27609688283338918
beijing/natural_outage_h24,half_var_long_repair_local_ridge_targets,0.45022838182681008,0.31529319693712204
beijing/natural_outage_h24,half_var_long_repair_peer_ridge_peer,0.38805273307133709,0.24468783535395958
beijing/natural_outage_h24,half_var_long_repair_peer_ridge_targets,0.39910369938003992,0.26055594955795552
beijing/natural_outage_h24,half_var_native_local,0.43451286868542821,0.30089446266050929
beijing/natural_outage_h24,half_var_native_long_prefix_peer,0.41275494632573206,0.26383286505701814
beijing/natural_outage_h24,half_var_native_long_prefix_targets,0.43468921320397519,0.29135930356368966
beijing/natural_outage_h24,half_var_native_long_raw_peer,0.41275497572289838,0.26383289466286658
beijing/natural_outage_h24,half_var_native_long_raw_targets,0.4346892145068888,0.29135930360735757
beijing/natural_outage_h24,half_var_native_observation_attention,0.41935099345597487,0.28351815676147324
beijing/natural_outage_h24,half_var_native_peer,0.42031603055058087,0.28319156264196299
beijing/natural_outage_h24,half_var_native_targets_only,0.4695036404117876,0.36051635819616706
beijing/natural_outage_h24,half_var_natural_lora,0.42273454790128834,0.28809750859657945
beijing/natural_outage_h24,half_var_peer_ar_bridge,0.39978707364749066,0.26549256156260143
beijing/natural_outage_h24,half_var_peer_future_ridge,0.41262731155316534,0.27538085608576235
