panel,method,station,mae,mse
beijing/legacy_native_h96,forecast_covariance,Changping,0.69148020861606141,1.1529484857708441
beijing/legacy_native_h96,forecast_covariance,Dingling,0.89302914386649168,1.5792531647368013
beijing/legacy_native_h96,forecast_covariance,Dongsi,0.88103368048212827,1.5632495482285067
beijing/legacy_native_h96,forecast_covariance,Guanyuan,0.90161673294756561,1.8477759841634878
beijing/legacy_native_h96,forecast_covariance,Gucheng,0.91522042110539448,1.6846104882037976
beijing/legacy_native_h96,forecast_covariance,Huairou,0.8050324974718237,1.4453547733323162
beijing/legacy_native_h96,forecast_covariance,Nongzhanguan,0.84276697999688155,1.48593698169898
beijing/legacy_native_h96,forecast_covariance,Shunyi,0.88906418170746704,1.7474428250020559
beijing/legacy_native_h96,forecast_covariance,Tiantan,0.83923393656760348,1.9041843890046977
beijing/legacy_native_h96,forecast_covariance,Wanliu,0.96429112879703927,2.4472278603103477
beijing/legacy_native_h96,forecast_covariance,Wanshouxigong,0.79593447705529075,1.9343927432243306
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Aotizhongxin,1.0071776729646842,1.9643606943632537
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Changping,0.66404229544778737,1.0471417877301057
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Dingling,0.90623940368758726,1.4769682253498868
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Dongsi,0.90055054113307975,1.6265919035067498
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Guanyuan,0.87216644205764038,1.7719917339122666
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Gucheng,0.95739297249054489,1.7951798731284769
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Huairou,0.78641748237633802,1.3035713171390737
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Nongzhanguan,0.84930684024862579,1.5212329989881148
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Shunyi,0.84469458463272851,1.4913584466673107
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Tiantan,0.82546114162052941,1.7634469760338476
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Wanliu,0.89464023580163721,2.0327914011082568
beijing/legacy_native_h96,full_dynamic_mixture_mean16,Wanshouxigong,0.79522566785333426,1.8587942476487234
beijing/legacy_native_h96,full_dynamic_mixture_median16,Aotizhongxin,1.0765561548464837,2.3108428535154188
beijing/legacy_native_h96,full_dynamic_mixture_median16,Changping,0.69672139734945082,1.1670889121727963
beijing/legacy_native_h96,full_dynamic_mixture_median16,Dingling,0.90881146470309027,1.6263740299217162
beijing/legacy_native_h96,full_dynamic_mixture_median16,Dongsi,0.89213711509113758,1.6060021605985904
beijing/legacy_native_h96,full_dynamic_mixture_median16,Guanyuan,0.90051454481793958,1.8532353823193983
beijing/legacy_native_h96,full_dynamic_mixture_median16,Gucheng,0.94907785356621721,1.8204567854833076
beijing/legacy_native_h96,full_dynamic_mixture_median16,Huairou,0.81375773304869303,1.4798069217779344
beijing/legacy_native_h96,full_dynamic_mixture_median16,Nongzhanguan,0.85217591971217332,1.5323453085013172
