panel,reference,mae_change_percent,mse_change_percent,mae_station_wins,mse_station_wins,mae_loso_min,mae_loso_max,mse_loso_min,mse_loso_max
beijing/synthetic_outage_h24,linear_var_direct,-4.787480094052143,-1.5779824860698177,9,8,-6.006184767655121,-3.8537987523156625,-3.6403323324216696,0.3976664529446561
beijing/synthetic_outage_h24,half_var_native_long_prefix_peer,-0.6802019651608093,4.142151204569733,7,5,-2.8133972580537514,3.338612805368757,-0.4113920378778002,16.527922501634016
beijing/synthetic_outage_h24,half_var_native_long_prefix_targets,2.2906623757599887,8.917290941141065,6,5,-0.8496434963446431,8.002477877354597,2.0267868467805483,26.258964897201054
beijing/synthetic_outage_h24,half_var_target_knn_multivariate,-5.072443242071367,-10.972958415206858,9,10,-5.847152317453553,-3.493259307635821,-11.76183004239032,-9.068131958897718
beijing/synthetic_outage_h24,long_repair_gaussian_peer,0.3453371520011128,-6.259596271685741,4,8,-0.6670338529818909,1.6746967381096045,-7.682251356721681,-4.443652391551145
beijing/synthetic_outage_h24,half_var_long_repair_gaussian_peer,0.021308155898425163,0.09786147098356235,6,3,-0.06121224932857938,0.1060846512113578,-0.028618832373439318,0.31394843594312327
beijing/synthetic_outage_h24,half_var_long_repair_knn_multivariate_peer,-0.6633944890623522,-2.032100316902008,6,7,-1.6511237618982877,1.2159945732391098,-3.584284801722204,1.0408604085949458
beijing/synthetic_outage_h24,long_repair_local_ridge_targets,24.321291247370922,49.75162201702539,3,3,19.99812981475706,28.292190733572564,40.934655180453476,62.315832605552444
beijing/synthetic_outage_h24,corruption_lora,-22.57116233983938,-41.11954098342535,12,12,-24.488163194605605,-19.88508835103233,-43.487576908892954,-37.82828201870061
beijing/synthetic_outage_h24,peer_ridge,-8.809173718147878,-24.066700771855853,10,10,-9.933801250517348,-7.111148851298998,-26.335731580423516,-21.74970708047006
beijing/synthetic_outage_h24,half_var_peer_ridge,-4.275646385953125,-9.233696155615112,11,11,-4.71999557510877,-3.662158242744651,-10.222561711443834,-8.16971693918781
beijing/synthetic_outage_h24,local_ridge,-7.542610172375119,-16.209335830908,9,8,-10.08793690031451,-6.403779565915501,-20.08966679980917,-12.046258406816124
beijing/legacy_native_h96,native_peer,-6.191722223745866,-20.31737789756326,10,12,-6.823591592274414,-5.41259422583511,-21.295454308017593,-19.364558302701006
beijing/legacy_native_h96,native_long_prefix_peer,1.68015847126044,-8.072064011501412,4,12,1.2217045141432514,2.3074854379291576,-8.595043473028651,-7.3640731043209335
beijing/legacy_native_h96,native_long_prefix_targets,2.5434682807160547,-6.18212757433766,3,11,1.9587388695860186,2.8975795254966297,-7.132386908188271,-5.2984604015427035
beijing/legacy_native_h96,linear_var_direct,-7.336794206807184,-2.5275442738647125,12,8,-7.818575037933984,-6.96638713365828,-3.2431966407050483,-2.0517407192619075
beijing/legacy_native_h96,half_var_native_long_prefix_peer,0.01593167696642972,0.15295298466566631,3,4,3.322346584511138e-05,0.0676740608586135,0.10643838923882765,0.1877588667040797
beijing/legacy_native_h96,half_var_native_long_prefix_targets,0.5799036045769368,1.2093366863629385,4,5,0.35980945832223554,0.7751750485660125,0.7254560999977011,1.7540029843953642
beijing/legacy_native_h96,half_var_target_knn_multivariate,-2.9166465879469694,-6.844605011167227,11,11,-3.1953948471258653,-2.677724474434262,-7.35260497069512,-6.396699910940562
